,log_price,city-mpg,curb-weight
72,10.464702061835247,16.0,3685
73,10.62035125971339,14.0,3900
74,10.72326738402944,14.0,3715
75,9.711297461543568,19.0,2910
76,8.592115117933497,37.0,1918
77,8.73052880173936,31.0,1944
78,8.805225202632306,31.0,2004
79,8.94754601503218,24.0,2145
80,9.20623194393164,23.0,2370
81,9.047703788498627,25.0,2328
82,9.44375103564617,19.0,2833
83,9.607033787697222,19.0,2921
84,9.581145019820722,19.0,2926
85,8.85209276347713,25.0,2365
86,9.010547069270189,25.0,2405
87,9.13550906135318,23.0,2403
88,9.13550906135318,23.0,2403
89,8.612321536507814,31.0,1889
90,8.867709208039386,45.0,2017
91,8.802221746402456,31.0,1918
92,8.831857935197906,31.0,1938
93,8.90231952852887,31.0,2024
94,8.895492631451633,31.0,1951
95,8.961750799330497,31.0,2028
96,8.92252495730139,31.0,1971
97,8.987071812848821,31.0,2037
98,9.017847259860732,31.0,2008
99,9.099297073182859,27.0,2324
100,9.164191715950203,27.0,2302
101,9.510370887608827,17.0,3095
102,9.57491403870827,17.0,3296
103,9.510370887608827,19.0,3060
104,9.752606521576492,19.0,3071
105,9.888323152016355,17.0,3139
106,9.820051594294094,19.0,3139
107,9.38429367909962,19.0,3020
108,9.487972108574462,28.0,3197
109,9.42867236629317,19.0,3230
110,9.536762272743895,25.0,3430
111,9.65374331942474,19.0,3075
112,9.735068900911164,28.0,3252
113,9.722864552377755,19.0,3285
114,9.74537068443899,25.0,3485
115,9.718963572186974,19.0,3075
116,9.795345393916424,28.0,3252
117,9.806425839692997,18.0,3130
118,8.625509334899697,37.0,1918
119,8.981807323377534,24.0,2128
120,8.736971085254146,31.0,1967
121,8.808668062106715,31.0,1989
122,8.937087036176523,31.0,2191
123,9.096163326913784,24.0,2535
124,9.454383987398135,19.0,2818
125,9.999615579630348,19.0,2778
126,10.389856535868129,17.0,2756
127,10.434938994095775,17.0,2756
128,10.519429662187102,17.0,2800
130,9.137231900155545,23.0,2579
131,9.199784858036667,23.0,2460
132,9.380083146563278,21.0,2658
133,9.406729185981574,21.0,2695
134,9.618468597503831,21.0,2707
135,9.649240256170584,21.0,2758
136,9.806425839692997,19.0,2808
137,9.831991550831058,19.0,2847
138,8.540519016719735,31.0,2050
139,8.86120833720818,26.0,2120
140,8.936298185228436,26.0,2240
141,8.871505346165781,32.0,2145
142,8.958668737047434,28.0,2190
143,9.206332350578643,26.0,2340
144,9.130539301772627,24.0,2385
145,9.32892308780313,24.0,2510
146,8.917712757131387,28.0,2290
147,9.2299469016151,25.0,2455
148,8.98882050177807,23.0,2420
149,9.366831168735615,23.0,2650
150,8.584477938221834,35.0,1985
151,8.754318540250866,31.0,2040
152,8.77770959579525,31.0,2015
153,8.841881989497114,31.0,2280
154,8.974364841846596,27.0,2290
155,9.080003870248179,27.0,3110
156,8.844768827529695,30.0,2081
157,8.881558488638976,30.0,2109
158,8.974364841846596,34.0,2275
159,8.960339366492091,38.0,2275
160,8.953898535260459,38.0,2094
161,9.03097444300786,28.0,2122
162,9.133243321591216,28.0,2140
163,8.994420665751292,29.0,2169
164,9.016512874996026,29.0,2204
165,9.13755460225053,26.0,2265
166,9.16303909885817,26.0,2300
167,9.041803370152845,24.0,2540
168,9.173572647783969,24.0,2536
169,9.20923976653215,24.0,2551
170,9.323579767582693,24.0,2679
171,9.354354132115088,24.0,2714
172,9.77956697061665,24.0,2975
173,9.09918532261002,29.0,2326
174,9.277812087091196,30.0,2480
175,9.209139651399664,27.0,2414
176,9.296334565143043,27.0,2414
177,9.327945614050446,27.0,2458
178,9.71462464769875,20.0,2976
179,9.680218993408767,19.0,3016
180,9.660778845727078,20.0,3131
181,9.66459564425378,19.0,3151
182,8.958668737047434,37.0,2261
183,8.984066927653044,27.0,2209
184,8.986571625268054,37.0,2264
185,9.01127949117793,27.0,2212
186,9.047233034106032,27.0,2275
187,9.158520623246385,37.0,2319
188,9.209840246934501,26.0,2300
189,9.358329249689632,24.0,2254
190,9.20833836930551,24.0,2221
191,9.49514330367712,19.0,2661
192,9.535679435605061,33.0,2579
193,9.416541202560081,25.0,2563
194,9.468078568054892,23.0,2912
195,9.504128762859725,23.0,3034
196,9.679406061493943,24.0,2935
197,9.71202433782489,24.0,3042
198,9.821192309809298,17.0,3045
199,9.849559210510572,17.0,3157
200,9.731809155840653,23.0,2952
201,9.854559878912704,19.0,3049
202,9.975110296209095,18.0,3012
203,10.019936365179374,26.0,3217
204,10.026810768568128,19.0,3062
